uk_id	ofac_id	uk_name	ofac_name	uk_address_country	ofac_address_country	uk_address_value	ofac_address_value	uk_address_postal_code	ofac_address_postal_code	name_distance	address_country_distance	address_value_distance	address_postal_code_distance	rank
6935	4688	abu sayyaf group	abu sayyaf group	philippines		""				0	1	1	1	1
6961	7321	benevolence international foundation	benevolence international foundation	yemen	yemen	""	, , , ,			0	0	7	1	1
6963	4690	armed islamic group	armed islamic group	algeria		""				0	1	1	1	1
6965	6366	al qa'ida	al qa'ida			""				0	1	1	1	1
6968	6912	al rashid trust	al rashid trust	pakistan	pakistan	jamia masjid, sulaiman park, begum pura, lahore	jamia masjid, sulaiman park, begum pura, , , lahore,			0	0	5	1	1
6972	6911	wafa humanitarian organization	wafa humanitarian organization	pakistan (at time of listing)		jordan house no 125, street 54, phase ii hayatabad, peshawar				0	1	1	1	1
6975	7200	al-aqsa martyrs' brigade	al-aqsa martyrs brigade			""				1	1	1	1	1
6987	4696	harakat ul-mujahideen	harakat ul-mujahideen	pakistan		""				0	1	1	1	1
6991	7199	al-haramain islamic foundation	al-haramain islamic foundation	bosnia and herzegovina	bosnia and herzegovina	64 poturmahala, travnik	64 poturmahala, , , travnik,			0	0	5	1	1
7021	7472	ansar al-islam	ansar al-islam		iraq	""	, , , ,			0	1	7	1	1
7029	6935	jaish-i-mohammed	jaish-i-mohammed	pakistan	pakistan	""	, , , ,			0	0	7	1	1
7149	7324	moroccan islamic combatant group	moroccan islamic combatant group	morocco		""				0	1	1	1	1
7199	6725	islamic movement of uzbekistan	islamic movement of uzbekistan			""				0	1	1	1	1
7208	7280	jemaah islamiyah	jemaa islamiyah			""				1	1	1	1	1
7210	7149	revival of islamic heritage society	revival of islamic heritage society	afghanistan	afghanistan	""	, , , ,			0	0	7	1	1
7212	6936	jam'yah ta'awun al-islamia	jam'yah ta'awun al-islamia	afghanistan	afghanistan	kandahar city	, , , qandahar city,			0	0	8	1	1
7231	4702	kurdistan workers party	kurdistan workers' party			""				1	1	1	1	1
7241	7140	lashkar-e-tayyiba	lashkar e-tayyiba		pakistan	""	, , , ,			1	1	7	1	1
7247	6897	salafist group for call and combat	salafist group for call and combat	mali		""				0	1	1	1	1
7364	4706	national liberation army	national liberation army			""				0	1	1	1	1
7364	7755	national liberation army	national liberation army			""				0	1	1	1	1
8282	8213	aviatrans anstalt	aviatrans anstalt	liechtenstein	liechtenstein	ruggell	, , , ruggell,			0	0	7	1	1
8283	8214	logarcheo s.a.	logarcheo s.a.	switzerland	switzerland	chemin du carmel, 1661 le paquier-montbarry	chemin du carmel, , , 1661 le paquier-montbarry,			0	0	5	1	1
8284	2831	midco finance, s.a.	midco finance s.a.		panama	""	, , , ,			1	1	7	1	1
8360	8225	al furqan	al furqan	bosnia and herzegovina	bosnia and herzegovina	72 ul. strossmajerova, zenica	ul. strossmajerova 72, , , zenica,			0	0	11	1	1
8441	8759	islamic state in iraq and the levant	islamic state of iraq and the levant			""				2	1	1	1	1
8531	7638	al-aqsa e.v.	al-aqsa e.v.		germany	""	kappellenstrasse 36, , , aachen,		d-52066	0	1	32	1	1
8652	9334	islamic jihad group	islamic jihad group			""				0	1	1	1	1
8703	7946	al-akhtar trust international	al-akhtar trust international	pakistan	pakistan	gulistan-e-jauhar, block 12, karachi	gulistan-e-jauhar, block 12, , , karachi,			0	0	5	1	1
8988	10371	farayand technique	farayand technique		iran	""	, , , isfahan,			0	1	14	1	1
8990	10863	7th of tir	7th of tir		iran	""	p.o. box 81465-478, , , isfahan,			0	1	32	1	1
8994	10388	fajr industrial group	fajr industries group		iran	""	p.o. box 1985-777, , , tehran,			2	1	30	1	1
9038	10887	parchin chemical industries	parchin chemical industries		iran	""	khavaran road km 35, , , tehran,			0	1	32	1	1
9041	11314	naval defence missile industry group	naval defence missile industry group		iran	""	, , , tehran,			0	1	13	1	1
9044	9763	sanam industrial group	sanam industrial group		iran	""	pasdaran road 15, , , tehran,			0	1	29	1	1
9045	9764	ya mahdi industries group	ya mahdi industries group		iran	""	po box 19395-4731, , , tehran,			0	1	30	1	1
9102	9348	aerospace industries organisation	aerospace industries organization	iran	iran	langare street, nobonyad square, tehran	langare street, nobonyad square, , , tehran,			1	0	5	1	1
10449	11446	niru battery manufacturing company	niru battery manufacturing company		iran	""	next to babee exp. way, nobonyad sq., p.o. box 19575-361, tehran,			0	1	65	1	1
10655	10392	ministry of defence and armed forces logistics	ministry of defense and armed forces logistics	iran	iran	ferdowsi avenue, sarhang sakhaei street, tehran	ferdowsi avenue, sarhang sakhaei street, , , tehran,			1	0	5	1	1
10659	11184	iran electronic industries	iran electronics industries	iran	iran	shahid langari street, nobonyad square, tehran	shahid langari street, nobonyad square, , tehran,			1	0	3	1	1
11090	10761	al-shabaab	al-shabaab	somalia	somalia	""	, , , ,			0	0	7	1	1
11135	10496	gharagahe sazandegi ghaem	gharargahe sazandegi ghaem		iran	""	no. 25, valiasr st., azadi sq., , tehran,			1	1	41	1	1
11136	10490	ghorb karbala	ghorb karbala		iran	""	no. 2 firouzeh alley, shahid hadjipour st., resalat highway, tehran,			0	1	68	1	1
11138	10495	hara company	hara company		iran	""	, , , tehran,			0	1	13	1	1
11198	25139	iai	iyari		mexico	ekbatan city, karaj road, azadi sq., tehran	naciones unidas 4579-c, patria universidad, , zapopan, jalisco			2	1	46	1	1
11199	12452	iamco	tajco		the gambia	p.o.box 81465 935, esfahan	1 picton street, , , banjul,			2	1	24	1	1
11199	23628	hesa	hasm		egypt	p.o.box 81465 935, esfahan	, , , , cairo			2	1	21	1	1
11200	12941	iran centrifuge technology company	iran centrifuge technology company	iran	iran	khalij e fars boulevard, kilometre 10 of atomic energy road, rowshan shahr, third moshtaq street, esfahan	khalij-e fars boulevard, kilometre 10 of atomic energy road, rowshan shahr, third moshtaq street, , , esfahan,			0	0	6	1	1
11201	11181	iran communications industries	iran communication industries	iran	iran	po box 19295 4731, pasdaran ave, tehran	p.o. box 19295-4731, pasdaran avenue, , tehran,			1	0	9	1	1
11203	16436	iran aviation industries organization	iran aviation industries organization	iran	iran	107 sepahbod gharani avenue, tehran	sepahbod gharani 36, , , tehran,			0	0	11	1	1
11221	15148	centre for innovation and technology cooperation	center for innovation and technology cooperation	iran	iran	tehran	, , , tehran,			2	0	7	1	1
